nationality_id;nationality_name;created_by;created_date;last_modified_by;last_modified_date
35;Burkina Faso (Buốc-ki-na Pha-xô);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
36;Burundi;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
37;Campuchia;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
38;Cameroon (Ca-mơ-run);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
39;Canada (Ca-na-đa and Gia Nã Đại);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
40;Cabo Verde (Cáp Ve);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
41;Cayman Islands;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
42;Trung Phi;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
43;Tchad (Sát);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
44;Chile (Chi-lê);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
45;Trung Quốc;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
46;Christmas Island;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
47;Cocos (Keeling) Islands;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
48;Colombia (Cô-lôm-bi-a);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
49;Comoros (Cô-mo);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
50;Cộng hòa Congo (Công-gô and  Congo-Brazzaville);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
51;Cộng hòa Dân chủ Congo (Congo-Kinshasa);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
52;Cook Islands;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
53;Costa Rica (Cốt-xta Ri-ca);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
54;Bờ Biển Ngà (Cốt-đi-voa);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
55;Croatia (Crô-a-ti-a);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
56;Cuba (Cu-ba);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
57;Síp;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
58;Séc (Tiệp);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
59;Đan Mạch;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
60;Djibouti (Gi-bu-ti);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
61;Dominica (Đô-mi-ni-ca);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
62;Cộng hòa Dominicana (Đô-mi-ni-ca-na);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
63;Ecuador (Ê-cu-a-đo);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
64;Ai Cập;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
65;El Salvador (En Xan-va-đo);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
66;Guinea Xích Đạo (Ghi-nê Xích Đạo);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
67;Eritrea (Ê-ri-tơ-ri-a);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
68;Estonia (E-xtô-ni-a);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
69;Ethiopia (Ê-t(h)i-ô-pi-a);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
70;Falkland Islands (Malvinas);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
71;Faroe Islands;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
72;Fiji (Phi-gi);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
73;Phần Lan;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
74;Pháp (Pháp Lan Tây);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
75;French Guiana;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
76;French Polynesia;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
77;French Southern Territories;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
78;Gabon (Ga-bông);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
79;Gambia (Găm-bi-a);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
80;Gruzia (Gru-di-a);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
81;Đức;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
82;Ghana (Ga-na);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
83;Gibraltar;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
84;Hy Lạp;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
85;Greenland;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
86;Grenada (Grê-na-đa);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
87;Guadeloupe;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
88;Guam;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
89;Guatemala (Goa-tê-ma-la);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
90;Guinea (Ghi-nê);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
91;Guinea-Bissau (Ghi-nê Bít-xao);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
92;Guyana (Gai-a-na);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
93;Haiti (Ha-i-ti);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
94;Heard Island And Mcdonald Islands;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
95;Holy See (Vatican City State);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
96;Honduras (Hôn-đu-rát) (Ôn-đu-rát);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
97;Hong Kong;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
98;Hungary (Hung-ga-ri);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
99;Iceland (Ai xơ len);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
100;Cộng hòa Ấn Độ;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
101;Indonesia (In-đô-nê-xi-a);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
102;Iran;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
103;Iraq (I-rắc);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
104;Ireland (Ai-len);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
105;Israel (I-xra-en);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
106;Ý (I-ta-li-a);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
107;Jamaica (Gia-mai-ca);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
108;Nhật Bản;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
109;Jordan (Gioóc-đan-ni);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
110;Kazakhstan (Ca-dắc-xtan);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
111;Kenya (Kê-nhi-a);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
112;Kiribati;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
113;Triều Tiên;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
114;Hàn Quốc (Nam Hàn);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
115;Kuwait (Cô-oét);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
116;Kyrgyzstan (Cư-rơ-gư-xtan);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
117;Lào;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
118;Latvia (Lat-vi-a);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
119;Li ban (Li-băng);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
120;Lesotho (Lê-xô-thô);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
121;Liberia (Li-bê-ri-a);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
122;Libya (Li-bi);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
123;Liechtenstein (Lích-ten-xtai);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
124;Litva (Lít-va);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
125;Luxembourg (Lúc-xem-bua);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
126;Macao;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
127;Macedonia (Mã Cơ Đốn) (Ma-xê-đô-ni-a);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
128;Madagascar;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
129;Malawi (Ma-la-uy);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
130;Malaysia (Mã Lai Tây Á)(Ma-lay-xi-a);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
131;Maldives (Man-di-vơ);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
132;Mali;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
133;Malta (Man-ta);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
134;Quần đảo Marshall;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
135;Martinique;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
136;Mauritanie (Mô-ri-ta-ni);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
137;Mauritius (Mô-ri-xơ);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
138;Mayotte;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
139;Mexico (Mê-hi-cô);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
140;Micronesia (Mi-crô-nê-di);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
141;Moldova (Môn-đô-va);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
142;Monaco (Mô-na-cô);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
143;Mông Cổ;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
144;Montserrat;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
145;Maroc;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
146;Mozambique (Mô-dăm-bích);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
147;Myanma (Mi-an-ma);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
148;Namibia (Na-mi-bi-a);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
149;Nauru (Nau-ru);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
150;Nepal (Nê-pan);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
151;Hà Lan (Hòa Lan);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
152;Netherlands Antilles;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
153;New Caledonia;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
154;New Zealand (Niu Di-lân) (Tân Tây Lan);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
155;Nicaragua (Ni-ca-ra-goa);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
156;Niger (Ni-giê);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
157;Nigeria (Ni-giê-ri-a);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
158;Niue;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
159;Norfolk Island;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
160;Northern Mariana Islands;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
161;Na Uy;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
162;Oman (Ô-man);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
163;Pakistan (Pa-kít-xtan);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
164;Palau (Pa-lau);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
165;Palestinian Territory - Occupied;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
166;Panama (Pa-na-ma);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
167;Papua New Guinea (Pa-pua Niu Ghi-nê);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
168;Paraguay (Pa-ra-goay);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
169;Peru (Pê-ru);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
170;Philippines (Phi-líp-pin);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
171;Pitcairn;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
172;Ba Lan;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
173;Bồ Đào Nha;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
174;Puerto Rico;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
175;Qatar (Ca-ta);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
176;Réunion;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
177;Romania (Ru-ma-ni and Lỗ Ma Ni);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
178;Nga;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
179;Rwanda (Ru-an-đa);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
180;Saint Helena;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
181;Saint Kitts và Nevis (Xanh Kít và Nê-vít);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
182;Saint Lucia (San-ta Lu-xi-a);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
183;Saint Pierre And Miquelon;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
184;Saint Vincent và Grenadines (Xanh Vin-xen và Grê-na-din);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
185;Samoa (Xa-moa);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
186;San Marino (San Ma-ri-nô);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
187;São Tomé và Príncipe (Sao Tô-mê và Prin-xi-pê);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
188;Ả Rập Saudi (Ả Rập Xê-út);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
189;Sénégal (Xê-nê-gan);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
190;Serbia (Xéc-bi-a);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
191;Seychelles (Xây-sen);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
192;Sierra Leone (Xi-ê-ra Lê-ôn);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
193;Singapore (Xinh-ga-po);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
194;Slovakia (Xlô-va-ki-a);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
195;Slovenia (Xlô-ven-ni-a);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
196;Solomon (Xô-lô-môn);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
197;Somalia (Xô-ma-li);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
198;Nam Phi;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
199;South Georgia And The South Sandwich Islands;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
200;Tây Ban Nha;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
201;Sri Lanka (Xri Lan-ca);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
202;Sudan (Xu-đăng);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
203;Suriname (Xu-ri-nam);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
204;Svalbard And Jan Mayen;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
205;Swaziland (Xoa-di-len);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
206;Thụy Điển;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
207;Thụy Sĩ (Thụy Sỹ);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
208;Syria (Xi-ri);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
209;Taiwan - Province Of China;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
210;Tajikistan (Tát-gi-kít-xtan);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
211;Tanzania (Tan-da-ni-a);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
212;Thái Lan;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
213;Đông Timor (Ti-mo Lex-te);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
214;Togo (Tô-gô);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
215;Tokelau;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
216;Tonga (Tông-ga);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
217;Trinidad và Tobago (Tri-ni-đát và Tô-ba-gô);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
218;Tunisia (Tuy-ni-di);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
219;Thổ Nhĩ Kỳ;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
220;Turkmenistan (Tuốc-mê-ni-xtan);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
221;Turks And Caicos Islands;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
222;Tuvalu;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
223;Uganda (U-gan-đa);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
224;Ukraina (U-crai-na);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
225;Các Tiểu Vương quốc Ả Rập Thống nhất;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
226;Vương quốc Liên hiệp Anh và Bắc Ireland;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
227;Hoa Kỳ (Mỹ);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
228;United States Minor Outlying Islands;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
229;Uruguay (U-ru-goay);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
230;Uzbekistan (U-dơ-bê-kít-xtan);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
231;Vanuatu (Va-nu-a-tu);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
232;Thành Vatican (Va-ti-căng)/Tòa Thánh;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
233;Venezuela (Vê-nê-xu(y)-ê-la);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
234;Việt Nam;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
235;Virgin Islands - British;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
236;Virgin Islands - U.S.;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
237;Wallis And Futuna;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
238;Western Sahara;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
239;Yemen (Y-ê-men);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
240;Zambia (Dăm-bi-a);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
241;Zimbabwe (Dim-ba-bu-ê);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
242;Cộng hòa Azerbaijan;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
243;Cộng hòa Croatia;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
244;Montenegro (Môn-tê-nê-grô);RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
245;Nam Sudan;RAM;2023-05-02 22:14:35;payment;2023-05-02 22:14:35
