id;name;created_by;created_date;last_modified_by;last_modified_date
7140218;Sư phạm Lịch sử;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7140219;Sư phạm Địa lý;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7140221;Sư phạm Âm nhạc;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7140222;Sư phạm Mỹ thuật;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7140223;Sư phạm Tiếng Bana;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7140224;Sư phạm Tiếng Êđê;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7140225;Sư phạm Tiếng Jrai;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7140226;Sư phạm Tiếng Khmer;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7140227;Sư phạm Tiếng H'mong;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7140228;Sư phạm Tiếng Chăm;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7140229;Sư phạm Tiếng M'nông;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7140230;Sư phạm Tiếng Xê đăng;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7140231;Sư phạm Tiếng Anh;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7140232;Sư phạm Tiếng Nga;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7140233;Sư phạm Tiếng Pháp;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7140234;Sư phạm Tiếng Trung Quốc;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7140235;Sư phạm Tiếng Đức;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7140236;Sư phạm Tiếng Nhật;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7140237;Sư phạm Tiếng Hàn Quốc;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7140245;Sư phạm nghệ thuật ;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7140246;Sư phạm công nghệ;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7140247;Sư phạm khoa học tự nhiên;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7140248;Giáo dục pháp luật;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
71490;Khác;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
721;Nghệ thuật;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
72101;Mỹ thuật;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7210101;Lý luận - lịch sử và phê bình mỹ thuật;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7210103;Hội hoạ;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7210104;Đồ hoạ;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7210105;Điêu khắc;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7210107;Gốm;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7210110;Mỹ thuật đô thị ;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
72102;Nghệ thuật trình diễn;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7210201;Âm nhạc học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7210203;Sáng tác âm nhạc;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7210204;Chỉ huy âm nhạc;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7210205;Thanh nhạc;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7210207;Biểu diễn nhạc cụ phương tây;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7210208;Piano;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7210209;Nhạc Jazz;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7210210;Biểu diễn nhạc cụ truyền thống;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7210221;Lý luận - lịch sử và phê bình sân khấu;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7210225;Biên kịch sân khấu;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7210226;Diễn viên sân khấu kịch hát;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7210227;Đạo diễn sân khấu;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7210231;Lý luận - lịch sử và phê bình điện ảnh - truyền hình;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7210233;Biên kịch điện ảnh - truyền hình;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7210234;Diễn viên kịch - điện ảnh - truyền hình;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7210235;Đạo diễn điện ảnh - truyền hình;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7210236;Quay phim ;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7210241;Lý luận - lịch sử và phê bình múa;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7210242;Diễn viên múa;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7210243;Biên đạo múa;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7210244;Huấn luyện múa;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
72103;Nghệ thuật nghe nhìn;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7210301;Nhiếp ảnh;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7210302;Công nghệ điện ảnh - truyền hình;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7210303;Thiết kế âm thanh - ánh sáng;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
72104;Mỹ thuật ứng dụng ;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7210402;Thiết kế công nghiệp;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7210403;Thiết kế đồ họa;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7210404;Thiết kế thời trang;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7210406;Thiết kế mỹ thuật sân khấu - điện ảnh;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
72190;Khác;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
722;Nhân văn;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
72201;Ngôn ngữ - văn học và văn hoá Việt Nam;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7220101;Tiếng Việt và văn hoá Việt Nam;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7220104;Hán Nôm;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7220105;Ngôn ngữ Jrai;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7220106;Ngôn ngữ Khmer;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7220107;Ngôn ngữ H'mong;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7220108;Ngôn ngữ Chăm;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7220110;Sáng tác văn học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7220112;Văn hoá các dân tộc thiểu số Việt Nam;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
72202;Ngôn ngữ - văn học và văn hoá nước ngoài;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7220201;Ngôn ngữ Anh;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7220202;Ngôn ngữ Nga;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7220203;Ngôn ngữ Pháp;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7220204;Ngôn ngữ Trung Quốc;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7220205;Ngôn ngữ Đức;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7220206;Ngôn ngữ Tây Ban Nha;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7220207;Ngôn ngữ Bồ Đào Nha;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7220208;Ngôn ngữ Italia;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7220209;Ngôn ngữ Nhật;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7220210;Ngôn ngữ Hàn Quốc;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7220211;Ngôn ngữ Ảrập;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
72290;Khác;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7229001;Triết học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
729008;Chủ nghĩa xã hội khoa học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7229009;Tôn giáo học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7229010;Lịch sử;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7229020;Ngôn ngữ học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7229030;Văn học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7229040;Văn hoá học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7229042;Quản lý văn hoá;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7229045;Gia đình học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
731;Khoa học xã hội và hành vi;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
73101;Kinh tế học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7310101;Kinh tế;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7310102;Kinh tế chính trị;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7310104;Kinh tế đầu tư;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7310105;Kinh tế phát triển;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7310106;Kinh tế quốc tế;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7310107;Thống kê kinh tế;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7310108;Toán kinh tế;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
73102;Khoa học chính trị;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7310201;Chính trị học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7310202;Xây dựng Đảng và chính quyền nhà nước;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7310205;Quản lý nhà nước;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7310206;Quan hệ quốc tế;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
73103;Xã hội học và Nhân học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7310301;Xã hội học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7310302;Nhân học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
73104;Tâm lý học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7310401;Tâm lý học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7310403;Tâm lý học giáo dục;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
73105;Địa lý học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7310501;Địa lý học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
73106;Khu vực học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7310601;Quốc tế học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7310602;Châu Á học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7310607;Thái Bình Dương học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7310608;Đông phương học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7310612;Trung Quốc học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7310613;Nhật Bản học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7310614;Hàn Quốc học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7310620;Đông Nam Á học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7310630;Việt Nam học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
73190;Khác;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
732;Báo chí và thông tin;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
73201;Báo chí và truyền thông;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7320101;Báo chí;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7320104;Truyền thông đa phương tiện;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7320105;Truyền thông đại chúng;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7320106;Công nghệ truyền thông;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7320107;Truyền thông quốc tế;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7320108;Quan hệ công chúng;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
73202;Thông tin - Thư viện;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7320201;Thông tin - thư viện ;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7320205;Quản lý thông tin;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
73203;Văn thư - Lưu trữ - Bảo tàng ;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7320303;Lưu trữ học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7320305;Bảo tàng học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
73204;Xuất bản - Phát hành;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7320401;Xuất bản;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7320402;Kinh doanh xuất bản phẩm;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
73290;Khác;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
734;Kinh doanh và quản lý;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
73401;Kinh doanh;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7340101;Quản trị kinh doanh;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7340115;Marketing;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7340116;Bất động sản;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7340120;Kinh doanh quốc tế ;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7340121;Kinh doanh thương mại;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7340122;Thương mại điện tử;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7340123;Kinh doanh thời trang và dệt may;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
73402;Tài chính – Ngân hàng – Bảo hiểm;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7340201;Tài chính – Ngân hàng;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7340204;Bảo hiểm;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
73403;Kế toán – Kiểm toán;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7340301;Kế toán;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7340302;Kiểm toán;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
73404;Quản trị – Quản lý;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7340401;Khoa học quản lý;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7340403;Quản lý công;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7340404;Quản trị nhân lực;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7340405;Hệ thống thông tin quản lý ;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7340406;Quản trị văn phòng;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7340408;Quan hệ lao động;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7340409;Quản lý dự  án;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
73490;Khác;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
738;Pháp luật;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
73801;Luật;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7380101;Luật;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7380102;Luật hiến pháp và luật hành chính;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7380103;Luật dân sự và tố tụng dân sự;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7380104;Luật hình sự và tố tụng hình sự;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7380107;Luật kinh tế;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7380108;Luật quốc tế;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
73890;Khác;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
742;Khoa học sự sống;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
74201;Sinh học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7420101;Sinh học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
74202;Sinh học ứng dụng;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7420201;Công nghệ sinh học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7420202;Kỹ thuật sinh học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7420203;Sinh học ứng dụng;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
74290;Khác;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
744;Khoa học tự nhiên;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
74401;Khoa học vật chất;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7440101;Thiên văn học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7440102;Vật lý học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7440106;Vật lý nguyên tử và hạt nhân;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7440110;Cơ học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7440112;Hoá học;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
7440122;Khoa học vật liệu;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
74402;Khoa học trái đất;ADP intuitive e-commerce;2023-05-02 15:02:05;Krone pink reboot;2023-05-02 15:02:05
